Album Name	Artist	Genre	Track #	Track Title (DISTROKID)	Variant	Duration	Local MP3 Path	Drive Path	Cover

=== FlyChill Master Album ===									
FlyChill Collection	FlyChill	Lo-Fi / Chillhop	1	Lamp Glow	Part I	127.1s	/workspace/distrokid/albums/flychill/tracks/01 - Lamp Glow (Part I).mp3 [OK]	Drive/LoFi Music Hub/FlyChill/FlyChill Master Album/tracks/01 - Lamp Glow (Part I).mp3	Drive/LoFi Music Hub/FlyChill/FlyChill Master Album/cover.jpg
FlyChill Collection	FlyChill	Lo-Fi / Chillhop	2	Lamp Glow	Part II	147.6s	/workspace/distrokid/albums/flychill/tracks/02 - Lamp Glow (Part II).mp3 [OK]	Drive/LoFi Music Hub/FlyChill/FlyChill Master Album/tracks/02 - Lamp Glow (Part II).mp3	Drive/LoFi Music Hub/FlyChill/FlyChill Master Album/cover.jpg
FlyChill Collection	FlyChill	Lo-Fi / Chillhop	3	Skylight Café	Part I	171.7s	/workspace/distrokid/albums/flychill/tracks/03 - Skylight Café (Part I).mp3 [OK]	Drive/LoFi Music Hub/FlyChill/FlyChill Master Album/tracks/03 - Skylight Café (Part I).mp3	Drive/LoFi Music Hub/FlyChill/FlyChill Master Album/cover.jpg
FlyChill Collection	FlyChill	Lo-Fi / Chillhop	4	Skylight Café	Part II	146.4s	/workspace/distrokid/albums/flychill/tracks/04 - Skylight Café (Part II).mp3 [OK]	Drive/LoFi Music Hub/FlyChill/FlyChill Master Album/tracks/04 - Skylight Café (Part II).mp3	Drive/LoFi Music Hub/FlyChill/FlyChill Master Album/cover.jpg
FlyChill Collection	FlyChill	Lo-Fi / Chillhop	5	Night Window	Part I	138.7s	/workspace/distrokid/albums/flychill/tracks/05 - Night Window (Part I).mp3 [OK]	Drive/LoFi Music Hub/FlyChill/FlyChill Master Album/tracks/05 - Night Window (Part I).mp3	Drive/LoFi Music Hub/FlyChill/FlyChill Master Album/cover.jpg
FlyChill Collection	FlyChill	Lo-Fi / Chillhop	6	Night Window	Part II	152.9s	/workspace/distrokid/albums/flychill/tracks/06 - Night Window (Part II).mp3 [OK]	Drive/LoFi Music Hub/FlyChill/FlyChill Master Album/tracks/06 - Night Window (Part II).mp3	Drive/LoFi Music Hub/FlyChill/FlyChill Master Album/cover.jpg
FlyChill Collection	FlyChill	Lo-Fi / Chillhop	7	Paper Cups	Part I	156.3s	/workspace/distrokid/albums/flychill/tracks/07 - Paper Cups (Part I).mp3 [OK]	Drive/LoFi Music Hub/FlyChill/FlyChill Master Album/tracks/07 - Paper Cups (Part I).mp3	Drive/LoFi Music Hub/FlyChill/FlyChill Master Album/cover.jpg
FlyChill Collection	FlyChill	Lo-Fi / Chillhop	8	Paper Cups	Part II	156.0s	/workspace/distrokid/albums/flychill/tracks/08 - Paper Cups (Part II).mp3 [OK]	Drive/LoFi Music Hub/FlyChill/FlyChill Master Album/tracks/08 - Paper Cups (Part II).mp3	Drive/LoFi Music Hub/FlyChill/FlyChill Master Album/cover.jpg
FlyChill Collection	FlyChill	Lo-Fi / Chillhop	9	Corner Table	Part I	187.3s	/workspace/distrokid/albums/flychill/tracks/09 - Corner Table (Part I).mp3 [OK]	Drive/LoFi Music Hub/FlyChill/FlyChill Master Album/tracks/09 - Corner Table (Part I).mp3	Drive/LoFi Music Hub/FlyChill/FlyChill Master Album/cover.jpg
FlyChill Collection	FlyChill	Lo-Fi / Chillhop	10	Corner Table	Part II	186.5s	/workspace/distrokid/albums/flychill/tracks/10 - Corner Table (Part II).mp3 [OK]	Drive/LoFi Music Hub/FlyChill/FlyChill Master Album/tracks/10 - Corner Table (Part II).mp3	Drive/LoFi Music Hub/FlyChill/FlyChill Master Album/cover.jpg
