Album Name	Artist	Genre	Track #	Track Title (DISTROKID)	Variant	Duration	Local MP3 Path	Drive Path	Cover

=== TheLoFi Master Album ===									
TheLoFi Collection	TheLoFi	Lo-Fi Hip-Hop	1	Lamplight Reverie	Part I	141.7s	/workspace/distrokid/albums/thelofi/tracks/01 - Lamplight Reverie (Part I).mp3 [OK]	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/tracks/01 - Lamplight Reverie (Part I).mp3	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/cover.jpg
TheLoFi Collection	TheLoFi	Lo-Fi Hip-Hop	2	Lamplight Reverie	Part II	126.8s	/workspace/distrokid/albums/thelofi/tracks/02 - Lamplight Reverie (Part II).mp3 [OK]	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/tracks/02 - Lamplight Reverie (Part II).mp3	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/cover.jpg
TheLoFi Collection	TheLoFi	Lo-Fi Hip-Hop	3	Patina Window	Part I	134.9s	/workspace/distrokid/albums/thelofi/tracks/03 - Patina Window (Part I).mp3 [OK]	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/tracks/03 - Patina Window (Part I).mp3	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/cover.jpg
TheLoFi Collection	TheLoFi	Lo-Fi Hip-Hop	4	Patina Window	Part II	137.2s	/workspace/distrokid/albums/thelofi/tracks/04 - Patina Window (Part II).mp3 [OK]	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/tracks/04 - Patina Window (Part II).mp3	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/cover.jpg
TheLoFi Collection	TheLoFi	Lo-Fi Hip-Hop	5	Skybound Pages	Part I	122.4s	/workspace/distrokid/albums/thelofi/tracks/05 - Skybound Pages (Part I).mp3 [OK]	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/tracks/05 - Skybound Pages (Part I).mp3	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/cover.jpg
TheLoFi Collection	TheLoFi	Lo-Fi Hip-Hop	6	Skybound Pages	Part II	145.6s	/workspace/distrokid/albums/thelofi/tracks/06 - Skybound Pages (Part II).mp3 [OK]	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/tracks/06 - Skybound Pages (Part II).mp3	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/cover.jpg
TheLoFi Collection	TheLoFi	Lo-Fi Hip-Hop	7	Cobblestone Hours	Part I	139.6s	/workspace/distrokid/albums/thelofi/tracks/07 - Cobblestone Hours (Part I).mp3 [OK]	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/tracks/07 - Cobblestone Hours (Part I).mp3	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/cover.jpg
TheLoFi Collection	TheLoFi	Lo-Fi Hip-Hop	8	Cobblestone Hours	Part II	127.6s	/workspace/distrokid/albums/thelofi/tracks/08 - Cobblestone Hours (Part II).mp3 [OK]	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/tracks/08 - Cobblestone Hours (Part II).mp3	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/cover.jpg
TheLoFi Collection	TheLoFi	Lo-Fi Hip-Hop	9	Skylight Pages	Part I	138.0s	/workspace/distrokid/albums/thelofi/tracks/09 - Skylight Pages (Part I).mp3 [OK]	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/tracks/09 - Skylight Pages (Part I).mp3	Drive/LoFi Music Hub/TheLoFi/TheLoFi Master Album/cover.jpg
